Country,Importance,Altitude,Latitude,Longitude
Afghanistan,0.747027483,0,33.7680065,66.2385139
Albania,0.727911799,0,41.000028,19.9999619
Algeria,0.758319025,0,28.0000272,2.9999825
Andorra,0.779500395,0,42.5407167,1.5732033
Angola,0.831117618,0,-11.8775768,17.5691241
Antigua and Barbuda,0.934363043,0,17.2234721,-61.9554608
Argentina,0.920104195,0,-34.9964963,-64.9672817
Armenia,0.731601485,0,40.7696272,44.6736646
Australia,0.962135064,0,-24.7761086,134.755
Austria,0.823043874,0,47.2000338,13.199959
Azerbaijan,0.74093097,0,40.3936294,47.7872508
Bahamas,0.774909343,0,24.7736546,-78.0000547
Bahrain,0.681587846,0,26.1551249,50.5344606
Bangladesh,0.718005972,0,24.4768783,90.2932426
Barbados,0.769547413,0,13.1500331,-59.5250305
Belarus,0.756896296,0,53.4250605,27.6971358
Belgium,0.819060552,0,50.6402809,4.6667145
Belize,0.770897983,0,16.8259793,-88.7600927
Benin,0.667613309,0,9.5293472,2.2584408
Bhutan,0.658755533,0,27.549511,90.5119273
Bolivia,0.843354941,0,-17.0568696,-64.9912286
Bosnia and Herzegovina,0.743972985,0,44.3053476,17.5961467
Botswana,0.779811325,0,-23.1681782,24.5928742
Brazil,0.845577342,0,-10.3333333,-53.2
Brunei,0.770083494,0,4.4137155,114.5653908
Bulgaria,0.785388248,0,42.6073975,25.4856617
Burkina Faso,0.880491224,0,12.0753083,-1.6880314
Burma,0.701602935,0,17.1750495,95.9999652
Burundi,0.769633389,0,-3.3634357,29.8870575
Cabo Verde,0.857468696,0,16.0000552,-24.0083947
Cambodia,0.695583245,0,13.5066394,104.869423
Cameroon,0.719266805,0,4.6125522,13.1535811
Canada,0.976125911,0,61.0666922,-107.9917071
Central African Republic,0.66981015,0,7.0323598,19.9981227
Chad,0.762462283,0,15.6134137,19.0156172
Chile,0.888342108,0,-31.7613365,-71.3187697
China,0.878826596,0,35.000074,104.999927
Colombia,0.889708647,0,2.8894434,-73.783892
Congo (Brazzaville),0.777415765,0,-0.7264327,15.6419155
Congo (Kinshasa),0.822405118,0,-2.9814344,23.8222636
Costa Rica,0.916454807,0,10.2735633,-84.0739102
Cote d'Ivoire,0.903852049,0,7.9897371,-5.5679458
Croatia,0.783685743,0,45.5643442,17.0118954
Cuba,0.854839052,0,23.0131338,-80.8328748
Cyprus,0.72054725,0,34.9823018,33.1451285
Czechia,0.810148443,0,49.8167003,15.4749544
Denmark,0.806805865,0,55.670249,10.3333283
Diamond Princess,0.201,0,53.8953584,27.5554078
Djibouti,0.752638248,0,11.8145966,42.8453061
Dominica,0.808236599,0,19.0974031,-70.3028026
Dominican Republic,0.808236599,0,19.0974031,-70.3028026
Ecuador,0.849288604,0,-1.3397668,-79.3666965
Egypt,0.785163958,0,26.2540493,29.2675469
El Salvador,0.88651002,0,13.8000382,-88.9140683
Equatorial Guinea,0.751043771,0,1.613172,10.5170357
Eritrea,0.761582472,0,15.9500319,37.9999668
Estonia,0.751423094,0,58.7523778,25.3319078
Eswatini,0.721640857,0,-26.5624806,31.3991317
Ethiopia,0.719313654,0,10.2116702,38.6521203
Fiji,0.6818783,0,-18.1239696,179.0122737
Finland,0.807327504,0,63.2467777,25.9209164
France,1.023326444,0,46.603354,1.8883335
Gabon,0.787596982,0,-0.8999695,11.6899699
Gambia,0.762242698,0,13.470062,-15.4900464
Georgia,0.839577897,0,32.3293809,-83.1137366
Germany,0.889681489,0,51.0834196,10.4234469
Ghana,0.822029141,0,8.0300284,-1.0800271
Greece,0.798996102,0,38.9953683,21.9877132
Grenada,0.751827052,0,12.1360374,-61.6904045
Guatemala,0.820709287,0,15.6356088,-89.8988087
Guinea,0.674714358,0,10.7226226,-10.7083587
Guinea-Bissau,0.747675006,0,12.100035,-14.9000214
Guyana,0.783822608,0,4.8417097,-58.6416891
Haiti,0.689458681,0,19.1399952,-72.3570972
Holy See,0.364463379,0,38.9247244,-77.06572733
Honduras,0.811423827,0,15.2572432,-86.0755145
Hungary,0.808284595,0,47.1817585,19.5060937
Iceland,0.735687578,0,64.9841821,-18.1059013
India,0.947689136,0,22.3511148,78.6677428
Indonesia,0.925582041,0,-2.4833826,117.8902853
Iran,0.824702704,0,32.6475314,54.5643516
Iraq,0.746511821,0,33.0955793,44.1749775
Ireland,0.883845787,0,52.865196,-7.9794599
Israel,0.791602004,0,31.5313113,34.8667654
Italy,0.883101903,0,42.6384261,12.674297
Jamaica,0.817261562,0,18.1152958,-77.15984546
Japan,0.871013327,0,36.5748441,139.2394179
Jordan,0.716221771,0,31.1667049,36.941628
Kazakhstan,0.762519577,0,47.2286086,65.2093197
Kenya,0.836488598,0,1.4419683,38.4313975
South Korea,0.802419592,0,35.7724185,127.7965435
Kosovo,0.780306212,0,42.5869578,20.9021231
Kuwait,0.695601802,0,29.2733964,47.4979476
Kyrgyzstan,0.699471525,0,41.5089324,74.724091
Laos,0.687417206,0,20.0171109,103.378253
Latvia,0.7445672,0,56.8406494,24.7537645
Lebanon,0.73380538,0,33.8750629,35.843409
Liberia,0.774938573,0,5.7499721,-9.3658524
Libya,0.704102422,0,26.8234472,18.1236723
Liechtenstein,0.777281268,0,47.1416307,9.5531527
Lithuania,0.755558712,0,55.3500003,23.7499997
Luxembourg,0.728278676,0,49.8158683,6.1296751
MS Zaandam,0.211,0,52.4387696,4.8185293
Madagascar,0.820032185,0,-18.9249604,46.4416422
Malawi,0.770119251,0,-13.2687204,33.9301963
Malaysia,0.877487509,0,4.5693754,102.2656823
Maldives,0.650520652,0,4.7064352,73.3287853
Mali,0.800781089,0,16.3700359,-2.2900239
Malta,0.822750361,0,35.8885993,14.4476911
Mauritania,0.667049491,0,20.2540382,-9.2399263
Mauritius,0.779831293,0,-20.2759451,57.5703566
Mexico,0.839923932,0,19.4326296,-99.1331785
Moldova,0.820647544,0,47.2879608,28.5670941
Monaco,0.799644598,0,43.7323492,7.4276832
Mongolia,0.712716403,0,46.8250388,103.8499736
Montenegro,0.710733484,0,42.9868853,19.5180992
Morocco,0.781074718,0,31.1728205,-7.3362482
Mozambique,0.69086964,0,-19.302233,34.9144977
Namibia,0.797423386,0,-23.2335499,17.3231107
Nepal,0.709769815,0,28.1083929,84.0917139
Netherlands,0.829416895,0,52.5001698,5.7480821
New Zealand,0.991711173,0,-41.5000831,172.8344077
Nicaragua,0.805002067,0,12.6090157,-85.2936911
Niger,0.772187692,0,17.7356214,9.3238432
Nigeria,0.847817167,0,9.6000359,7.9999721
North Macedonia,0.700106436,0,41.6171214,21.7168387
Norway,0.814696522,0,64.5731537,11.52803644
Oman,0.680326026,0,21.0000287,57.0036901
Pakistan,0.762909367,0,30.3308401,71.247499
Panama,0.71418741,0,8.559559,-81.1308434
Papua New Guinea,0.788329504,0,-5.6816069,144.2489081
Paraguay,0.824653401,0,-23.3165935,-58.1693445
Peru,0.762405924,0,-6.8699697,-75.0458515
Philippines,0.879521466,0,12.7503486,122.7312101
Poland,0.852585548,0,52.215933,19.134422
Portugal,0.914004273,0,40.0332629,-7.8896263
Qatar,0.703411605,0,25.3336984,51.2295295
Romania,0.80534618,0,45.9852129,24.6859225
Russia,0.852192362,0,64.6863136,97.7453061
Rwanda,0.776200826,0,-1.9646631,30.0644358
Saint Kitts and Nevis,1.021751132,0,17.250512,-62.6725973
Saint Lucia,0.834642215,0,13.8250489,-60.975036
Saint Vincent and the Grenadines,1.123713005,0,12.90447,-61.2765569
San Marino,0.859326376,0,43.9458623,12.458306
Sao Tome and Principe,0.624536459,0,0.8875498,6.9648718
Saudi Arabia,0.735262517,0,25.6242618,42.3528328
Senegal,0.701143233,0,14.4750607,-14.4529612
Serbia,0.877253646,0,44.02432285,21.07657433
Seychelles,0.647100293,0,-4.6574977,55.4540146
Sierra Leone,0.866895719,0,8.6400349,-11.8400269
Singapore,0.853276755,0,1.357107,103.8194992
Slovakia,0.777034783,0,48.7411522,19.4528646
Slovenia,0.768267137,0,45.8133113,14.4808369
Somalia,0.681239436,0,8.3676771,49.083416
South Africa,0.982907628,0,-28.8166236,24.991639
South Sudan,0.841971178,0,7.8699431,29.6667897
Spain,0.865552505,0,39.3262345,-4.8380649
Sri Lanka,0.730312094,0,7.5554942,80.7137847
Sudan,0.696406723,0,14.5844444,29.4917691
Suriname,0.771728643,0,4.1413025,-56.0771187
Sweden,0.841632454,0,59.6749712,14.5208584
Switzerland,0.826485172,0,46.7985624,8.2319736
Syria,0.752519619,0,34.6401861,39.0494106
Taiwan,0.749419792,0,23.9739374,120.9820179
Tanzania,0.816848122,0,-6.5247123,35.7878438
Thailand,0.762627289,0,14.8971921,100.83273
Timor-Leste,0.651426488,0,-8.5151979,125.8375756
Togo,0.769992633,0,8.7800265,1.0199765
Trinidad and Tobago,0.975753621,0,10.8677845,-60.9821067
Tunisia,0.73400678,0,33.8439408,9.400138
Turkey,0.812289652,0,38.9597594,34.9249653
United States,0.935691367,0,39.7837304,-100.4458825
Uganda,0.807020968,0,1.5333554,32.2166578
Ukraine,0.816444244,0,49.4871968,31.2718321
United Arab Emirates,0.715277345,0,24.0002488,53.9994829
United Kingdom,1.072378013,0,54.7023545,-3.2765753
Uruguay,0.845509005,0,-32.8755548,-56.0201525
Uzbekistan,0.709755684,0,41.32373,63.9528098
Venezuela,0.867303028,0,8.0018709,-66.1109318
Vietnam,0.751194527,0,13.2904027,108.4265113
West Bank and Gaza,0.60784369,0,31.4331663,34.3779285
Western Sahara,0.606774894,0,24.1797324,-13.7667848
Zambia,0.794922692,0,-14.5186239,27.5599164
Zimbabwe,0.807897127,0,-18.4554963,29.7468414
Denmark/Sweden,0,0,56.0392,12.6218
Soviet Union,0.852192362,0,55.7558,37.6173
Tajikistan,0,0,38.861,71.2761
East Germany,0,0,52.52,13.405
Great Britain,0,0,55.3781,-3.436
Puerto Rico,0,0,18.2208,-66.5901
Czechoslovakia,0,0,48.9723,17.9792
Individual Olympic Athletes,0,0,-80,150
West Germany,0,0,50.1109,8.6821
North Korea,0,0,40.3399,127.5101
Yugoslavia,0,0,43.85,18.25
Scotland,0,0,56.4907,-4.2026
England,0,0,52.3555,-1.1743
Bermuda,0,0,32.3078,-64.7505
Czech Republic,0,0,49.8167003,15.4749544
United States Virgin Islands,0,0,18.3358,-64.8963
Australasia,0,0,-25.2744,133.7751
Serbia and Montenegro,0,0,43.1892,19.756
Guinea Bissau,0,0,11.8037,15.1804
Federated States of Micronesia,0,0,7.4256,150.5508
United Arab Republic,0,0,30.0333332,31.216658
Rhodesia,0,0,-19.0154,29.1549
West Indies Federation,0,0,10.6833,-61.6333
Bohemia,0,0,49.8175,15.473
British Virgin Islands,0,0,18.4207,-64.64
Tonga,0,0,-21.179,175.1982